codigo;descripcion;capitulo;seccion;uEspecialista;uAyudantes;uAnestesista;cantidadAyudantes;gastos;total;notas
01.06.04;RESECCION DE PLEXOS HIPOGASTRICOS SUPERIOR O INFERIOR.;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;252.75;51;104.25;2;215;29691.1;01,01,01,02
01.06.05;SIMPATECTOMIA PERIARTERIAL CAROTIDEA, HUMERAL, FEMORAL;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;101.25;30;80.25;1;266;20822.4;01,01,01,02
01.06.06;INYECCION PARAVERTEBRAL DE TRONCOS Y GANGLIOS SIMPATICO;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;;;;;7;369.32;01,01,01,02
01.06.07;Simpaticectomia por videoscopia;01;OPERACIONES EN EL SISTEMA NERVIOSO VEGETATIVO;;1;;1;;9.86;11
01.07.01;VENTRICULOGRAFIA POR INYECCION DE MEDIO CONTRASTE -LIQ;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;80.25;30;80.25;1;178;15093.4;01,01,01,02
01.07.02;PAN-ARTERIOGRAFIA CEREBRAL POR CATETERISMO. UNI;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;119.25;30;80.25;1;83;12098.3;01,01,01,02
01.07.03;ARTERIOGRAFIA CAROTIDEA O VERTEBRAL. (POR DISECCION O P;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;66;;80.25;;78;7528.8;01,01,01,02
01.07.04;NEUMOENCEFALOVENTRICULOGRAFIA FRACCIONADA (CISTERNOGRAF;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;66;;80.25;;78;7528.8;01,01,01,02
01.07.05;MIELOGRAFIA ASCENDENTE O DESCENDENTE. CISTERNOGRAFIA. M;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;66;;80.25;;36;5312.88;01,01,01,02
01.07.06;DISCOGRAFIA. NEUROGRAFIA. EPIDUROGRAFIA.;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;39.75;;80.25;;35;3902.47;01,01,01,02
01.07.07;Infusion intrtecal o en canal medular de citostaticos;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;1;;1;;51.72;01
01.07.08;Tratamiento endovascular de aneurismas craneales con;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;1;;1;;51.72;01
01.07.09;Tratamiento endovascular de malformaciones craneales;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;0.01;;1;;0.52;01
01.07.10;Tratamiento endovascular de tumores craneales con embo-;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;1;;1;;51.72;01
01.07.11;Ablacion de nervio craneal por radiofrecuencia;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;1;;1;;;
01.08.01;Biopsia cerebral estereotaxica;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;;1;;1;;51.72;01
01.20.20;Neurocirugía: Grupo C, nro. 21;01;PROCEDIMIENTOS NEURORRADIOLOGICOS;9694.55;;;;;95588.3;11
02.01.01;EXENTERACION DEL CONTENIDO ORBITARIO (NO INCLUYE INJERT;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;201.75;39.75;80.25;1;267;26577.3;01,01,01,02
02.01.02;NEUROTOMIA DEL NERVIO OPTICO.;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;178.5;34.5;80.25;1;223;22781.8;01,01,01,02
02.01.03;ORBITOTOMIA CON ESCISION DE LESION DE ORBITA, CON EXTRA;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;178.5;34.5;80.25;1;223;22781.8;01,01,01,02
02.01.04;INTRODUCCION DE SUSTANCIAS TERAPEUTICAS RETROBULARES IN;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;;;;;5;263.8;01,01,01,02
02.01.05;REPARACION PLASTICA DE LA ORBITA CON O SIN INJERTO DE P;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;228;45;87;1;268;28259.2;01,01,01,02
02.01.06;ENUCLEACION O EVISCERACION DEL GLOBO OCULAR CON O SIN I;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;228;45;80.25;1;220;25726.8;01,01,01,02
02.01.07;ASPIRACION, LAVADO E IMPLANTE DEL VITREO.;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;201.75;39.75;87;1;267;26577.3;01,01,01,02
02.01.08;VITRECTOMIA. CON MICROSCOPIO CON LUZ COAXIAL Y VITRECTO;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;637.5;127.5;186;1;910;87577.4;01,01,01,02
02.01.09;TRATAMIENTO QUIRURGICO CORRECTOR DEL ESTRABISMO (MIOTOT;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;252.75;51;104.25;1;228;27739.2;01,01,01,02
02.01.10;OP. DE HUMNELSHEIN (SUPLANTAMIENTO DEL RECTO EXTERNO PO;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;252.75;51;104.25;1;223;27475.4;01,01,01,02
02.01.11;EXCENTERACION DE CONTENIDO ORBITARIO Y RESECCION TOTAL;02;OPERACIONES EN LA ORBITA, EN EL GLOBO OCULAR;372.75;74.25;159.75;2;352;45530.6;01,01,01,02
02.02.01;RECONSTRUCCION TOTAL DEL PARPADO. TECNICA DE HUGJES O S;02;OPERACIONES EN LOS PARPADOS;201.75;39.75;87;1;223;24255.9;01,01,01,02
02.02.02;BLEFAROPLASTIA (INJERTO, CANTOPLASTIA, TRASOPLASTIA, RE;02;OPERACIONES EN LOS PARPADOS;119.25;30;80.25;1;220;19326.4;01,01,01,02
02.02.03;BLEFARORRAGIA PARCIAL O TOTAL.;02;OPERACIONES EN LOS PARPADOS;39.75;;;;97;7173.59;01,01,01,02
02.02.04;BLEFAROCHALASIS.;02;OPERACIONES EN LOS PARPADOS;61.5;;;;95;8192.98;01,01,01,02
02.02.05;ESCISION DE LESION DE PARPADOS, BLEFARECTOMIA (PIEL DE;02;OPERACIONES EN LOS PARPADOS;12.75;;;;52;3402.95;01,01,01,02
